_framework_ref,id,framework,domain,sub_domain,control,detail
1.1,CIS 8.1-1.1,CIS 8.1,Inventory and Control of Enterprise Assets,Establish and Maintain Detailed Enterprise Asset Inventory,,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise's network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently."
1.2,CIS 8.1-1.2,CIS 8.1,Inventory and Control of Enterprise Assets,Address Unauthorized Assets,,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset."
1.3,CIS 8.1-1.3,CIS 8.1,Inventory and Control of Enterprise Assets,Utilize an Active Discovery Tool,,"Utilize an active discovery tool to identify assets connected to the enterprise's network. Configure the active discovery tool to execute daily, or more frequently."
1.4,CIS 8.1-1.4,CIS 8.1,Inventory and Control of Enterprise Assets,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise's asset inventory. Review and use logs to update the enterprise's asset inventory weekly, or more frequently."
1.5,CIS 8.1-1.5,CIS 8.1,Inventory and Control of Enterprise Assets,Use a Passive Asset Discovery Tool,,"Use a passive discovery tool to identify assets connected to the enterprise's network. Review and use scans to update the enterprise's asset inventory at least weekly, or more frequently."
10.1,CIS 8.1-10.1,CIS 8.1,Malware Defenses,Deploy and Maintain Anti-Malware Software,,Deploy and maintain anti-malware software on all enterprise assets.
10.2,CIS 8.1-10.2,CIS 8.1,Malware Defenses,Configure Automatic Anti-Malware Signature Updates,,Configure automatic updates for anti-malware signature files on all enterprise assets.
10.3,CIS 8.1-10.3,CIS 8.1,Malware Defenses,Disable Autorun and Autoplay for Removable Media,,Disable autorun and autoplay auto-execute functionality for removable media.
10.4,CIS 8.1-10.4,CIS 8.1,Malware Defenses,Configure Automatic Anti-Malware Scanning of Removable Media,,Configure anti-malware software to automatically scan removable media.
10.5,CIS 8.1-10.5,CIS 8.1,Malware Defenses,Enable Anti-Exploitation Features,,"Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) and Gatekeeper™."
10.6,CIS 8.1-10.6,CIS 8.1,Malware Defenses,Centrally Manage Anti-Malware Software,,Centrally manage anti-malware software.
10.7,CIS 8.1-10.7,CIS 8.1,Malware Defenses,Use Behavior-Based Anti-Malware Software,,Use behavior-based anti-malware software.
11.1,CIS 8.1-11.1,CIS 8.1,Data Recovery,Establish and Maintain a Data Recovery Process,,"Establish and maintain a documented data recovery process. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
11.2,CIS 8.1-11.2,CIS 8.1,Data Recovery,Perform Automated Backups,,"Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data."
11.3,CIS 8.1-11.3,CIS 8.1,Data Recovery,Protect Recovery Data,,"Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements."
11.4,CIS 8.1-11.4,CIS 8.1,Data Recovery,Establish and Maintain an Isolated Instance of Recovery Data,,"Establish and maintain an isolated instance of recovery data. Example implementations include, version controlling backup destinations through offline, cloud, or off-site systems or services."
11.5,CIS 8.1-11.5,CIS 8.1,Data Recovery,Test Data Recovery,,"Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets."
12.1,CIS 8.1-12.1,CIS 8.1,Network Infrastructure Management,Ensure Network Infrastructure is Up-to-Date,,"Ensure network infrastructure is kept up to date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify software support."
12.2,CIS 8.1-12.2,CIS 8.1,Network Infrastructure Management,Establish and Maintain a Secure Network Architecture,,"Design and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum. Example implementations will not solely include documentation, but also policy and design components."
12.3,CIS 8.1-12.3,CIS 8.1,Network Infrastructure Management,Securely Manage Network Infrastructure,,"Securely manage network infrastructure. Example implementations include version-controlled Infrastructure-as-Code (IaC) and the use of secure network protocols, such as SSH and HTTPS."
12.4,CIS 8.1-12.4,CIS 8.1,Network Infrastructure Management,Establish and Maintain Architecture Diagram(s),,"Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
12.5,CIS 8.1-12.5,CIS 8.1,Network Infrastructure Management,"Centralize Network Authentication, Authorization, and Auditing (AAA)",,Centralize network AAA.
12.6,CIS 8.1-12.6,CIS 8.1,Network Infrastructure Management,Use of Secure Network Management and Communication Protocols,,"Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater)."
12.7,CIS 8.1-12.7,CIS 8.1,Network Infrastructure Management,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise's AAA Infrastructure,,Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.
